,HYG,SPY,TLT,^VIX,IG_Spread
2022-06-24,60.58970642089844,371.7293701171875,98.1669921875,27.229999542236328,5.18
2022-06-27,60.21831512451172,370.30950927734375,97.32974243164062,26.950000762939453,5.11
2022-06-28,59.556209564208984,362.7430114746094,97.78325653076172,28.360000610351562,5.26
2022-06-29,59.46738052368164,362.4476013183594,99.30948638916016,28.15999984741211,5.62
2022-06-30,59.43507766723633,359.5029296875,100.181640625,28.709999084472656,5.87
2022-07-01,60.002017974853516,363.30523681640625,101.21014404296875,26.700000762939453,5.92
2022-07-04,,,,,5.93
2022-07-05,59.94525146484375,363.9914245605469,102.00537872314453,27.540000915527344,5.99
2022-07-06,59.71816635131836,365.220703125,100.29258728027344,26.729999542236328,5.8
2022-07-07,60.69142532348633,370.690673828125,99.40998840332031,26.079999923706055,5.5
2022-07-08,60.7401008605957,370.3857421875,98.30892181396484,24.639999389648438,5.36
2022-07-11,60.399444580078125,366.15460205078125,100.00421905517578,26.170000076293945,5.44
2022-07-12,60.64275360107422,362.9145202636719,100.59844970703125,27.290000915527344,5.43
2022-07-13,60.577880859375,361.0085754394531,101.7519302368164,26.81999969482422,5.47
2022-07-14,60.46432113647461,360.1319274902344,100.92176818847656,26.399999618530273,5.53
2022-07-15,61.23482894897461,367.0122375488281,101.48979187011719,24.229999542236328,5.39
2022-07-18,60.64275360107422,363.98187255859375,100.43241119384766,25.299999237060547,5.25
2022-07-19,61.44570541381836,373.81634521484375,99.89059448242188,24.5,5.1
2022-07-20,61.713356018066406,376.1986999511719,100.15279388427734,23.8799991607666,4.9
2022-07-21,62.44331359863281,380.0296630859375,101.88300323486328,23.110000610351562,4.99
2022-07-22,62.362186431884766,376.50372314453125,103.59580993652344,23.030000686645508,4.96
2022-07-25,62.34599685668945,376.9611511230469,102.58211517333984,23.360000610351562,4.95
2022-07-26,61.90803146362305,372.5013427734375,102.66075134277344,24.690000534057617,5.06
2022-07-27,62.58929443359375,382.1737976074219,102.08399200439453,23.239999771118164,5.07
2022-07-28,63.230037689208984,386.9671936035156,102.89669036865234,22.329999923706055,4.98
2022-07-29,63.41657638549805,392.60870361328125,102.6170654296875,21.329999923706055,4.77
2022-07-31,,,,,4.83
2022-08-01,63.436119079589844,391.446044921875,105.08841705322266,22.84000015258789,4.8
2022-08-02,63.143001556396484,388.8635559082031,102.86483764648438,23.93000030517578,4.61
2022-08-03,63.69667434692383,394.9529113769531,104.484375,21.950000762939453,4.54
